node1,lat1,lon1,node2,lat2,lon2,heat
276654497,46.5078788,6.6664369,5043696698,46.5078258,6.6658894,1
581203388,46.5170578,6.6458450,581203392,46.5168524,6.6467791,1
3276618312,46.5512271,6.5676223,3317442,46.5517795,6.5672969,1
1238626676,46.5165070,6.7021331,387262438,46.5164680,6.7020228,1
1241247414,46.5155991,6.6881987,414225723,46.5155609,6.6882873,1
5332973122,46.5338978,6.6480868,660206907,46.5337955,6.6482032,1
2122533032,46.5525545,6.6292609,3507146868,46.5521990,6.6291919,1
1244770084,46.5223089,6.6866239,700237424,46.5223174,6.6865461,1
3276618312,46.5512271,6.5676223,3317439,46.5507174,6.5678926,1
1473431729,46.5236776,6.5405359,1473431731,46.5237810,6.5405671,1
4415975189,46.5369087,6.5509482,4415975207,46.5369331,6.5509961,1
574705302,46.5441784,6.6447507,574705333,46.5447249,6.6444230,1
1474513560,46.5536995,6.5659529,3317444,46.5530829,6.5664183,1
1424881538,46.5507613,6.6341564,3829070403,46.5509738,6.6334484,1
380759998,46.5438620,6.6770433,418016602,46.5448829,6.6779472,1
418016578,46.5619874,6.6957622,425709378,46.5621484,6.6956323,1
341350554,46.5488947,6.6414493,341350555,46.5489248,6.6415987,1
315004713,46.5270599,6.6077137,583412264,46.5271698,6.6076463,1
1193499247,46.5942518,6.6449210,268958723,46.5940308,6.6449120,1
330902469,46.5170071,6.6510528,581203437,46.5172374,6.6512005,1
280798808,46.5122417,6.6406147,564168827,46.5121905,6.6406073,1
1025080712,46.5192288,6.6692053,314174078,46.5188852,6.6690764,1
1056068595,46.5076858,6.6545097,268823041,46.5080190,6.6540767,1
659740321,46.5345243,6.6525687,659740322,46.5345163,6.6526211,1
1043748951,46.5444692,6.6708592,384903357,46.5444410,6.6710175,1
