t,duration,distance
18:15:00,626.0,7670.0
19:15:00,88.0,709.0
18:15:00,421.0,3374.0
18:00:00,626.0,7670.0
21:15:00,266.0,2219.0
19:45:00,501.0,4057.0
19:15:00,621.0,7471.0
12:30:00,215.0,1720.0
18:30:00,626.0,7670.0
18:30:00,365.0,3329.0
19:30:00,321.0,3175.0
18:45:00,626.0,7670.0
18:15:00,616.0,6685.0
18:00:00,344.0,3043.0
20:15:00,626.0,7670.0
18:30:00,527.0,5594.0
11:30:00,217.0,2052.0
19:00:00,173.0,1192.0
19:00:00,422.0,4060.0
18:30:00,699.0,8374.0
18:30:00,626.0,7670.0
19:45:00,157.0,1595.0
19:30:00,626.0,7670.0
20:00:00,349.0,2846.0
21:15:00,263.0,2092.0
17:45:00,707.0,8354.0
19:30:00,196.0,1545.0
19:15:00,109.0,881.0
12:45:00,442.0,4180.0
18:15:00,443.0,4125.0
20:15:00,602.0,6353.0
19:30:00,244.0,2407.0
19:15:00,70.0,564.0
18:15:00,180.0,1561.0
18:45:00,287.0,2739.0
18:30:00,707.0,8354.0
18:45:00,150.0,1165.0
18:15:00,152.0,1104.0
11:15:00,626.0,7670.0
19:00:00,626.0,7670.0
21:00:00,303.0,3030.0
20:45:00,186.0,1578.0
18:15:00,626.0,7670.0
18:45:00,707.0,8354.0
19:30:00,399.0,3920.0
18:00:00,406.0,3569.0
19:30:00,168.0,1319.0
20:15:00,190.0,1862.0
19:00:00,240.0,1745.0
18:30:00,311.0,2347.0
20:15:00,699.0,8374.0
19:15:00,539.0,5777.0
19:00:00,386.0,3515.0
19:45:00,699.0,8374.0
20:30:00,304.0,2525.0
19:00:00,285.0,2365.0
16:30:00,172.0,1449.0
18:15:00,626.0,7670.0
19:00:00,366.0,2874.0
19:45:00,255.0,2178.0
19:15:00,202.0,1729.0
19:00:00,626.0,7670.0
20:15:00,267.0,2301.0
13:00:00,152.0,1175.0
18:15:00,251.0,1861.0
18:45:00,262.0,2222.0
18:15:00,626.0,7670.0
20:00:00,372.0,3344.0
19:45:00,283.0,2384.0
19:45:00,860.0,9655.0
12:15:00,612.0,7483.0
11:15:00,273.0,2264.0
